bloque,id_registro,etiqueta_llm,confianza_llm,justificacion_llm,modelo
semilla,3457,neutral,0.9,"Texto informativo, sin elogio ni queja marcada",openai/gpt-oss-120b
semilla,3759,positivo,0.95,"Elogia orden, limpieza e iluminación",openai/gpt-oss-120b
semilla,2721,positivo,0.94,Recomienda el lugar para comprar,openai/gpt-oss-120b
semilla,227,muy negativo,0.96,Queja grave de mala atención y largas esperas,openai/gpt-oss-120b
semilla,3295,muy negativo,0.93,Queja intensa por cobro y situación de salud,openai/gpt-oss-120b
semilla,11,negativo,0.9,Critica falta de ventanillas y lentitud,openai/gpt-oss-120b
semilla,2610,muy positivo,0.95,Elogio entusiasta sin quejas,openai/gpt-oss-120b
semilla,288,neutral,0.9,"Solo describe servicios, sin valoración",openai/gpt-oss-120b
semilla,1776,positivo,0.85,"Mayoría positiva, con pequeño inconveniente",openai/gpt-oss-120b
semilla,4550,muy negativo,0.97,"Queja grave, agresión, recomienda evitar",openai/gpt-oss-120b
semilla,52,positivo,0.9,Elogio breve sin reservas,openai/gpt-oss-120b
semilla,1997,muy negativo,0.96,"Queja fuerte, servicio deficiente",openai/gpt-oss-120b
semilla,3408,negativo,0.85,"Insatisfacción clara, predominan críticas",openai/gpt-oss-120b
semilla,995,neutral,0.9,Solo información del local,openai/gpt-oss-120b
semilla,819,muy positivo,0.9,"Elogio entusiasta, sin quejas",openai/gpt-oss-120b
semilla,2599,muy positivo,0.93,"Elogio entusiasta, recomendación implícita",openai/gpt-oss-120b
semilla,4188,positivo,0.88,Elogio con varios aspectos positivos,openai/gpt-oss-120b
semilla,3210,muy negativo,0.96,"Queja grave, maltrato y fallas",openai/gpt-oss-120b
semilla,2101,muy negativo,0.97,"Queja fuerte, amenaza de cambio",openai/gpt-oss-120b
semilla,743,negativo,0.85,"Insatisfacción clara, sin agresión",openai/gpt-oss-120b
semilla,740,muy positivo,0.95,"Elogio entusiasta, alta satisfacción",openai/gpt-oss-120b
semilla,1705,positivo,0.84,"Mayoría positiva, con observaciones de precios",openai/gpt-oss-120b
semilla,1237,positivo,0.86,Elogio con sugerencia de mejora,openai/gpt-oss-120b
semilla,1297,muy negativo,0.94,Queja fuerte sobre falta de tallas,openai/gpt-oss-120b
semilla,3438,positivo,0.85,Elogio con queja leve de rapidez,openai/gpt-oss-120b
semilla,2998,positivo,0.88,Elogio de ubicación y precios,openai/gpt-oss-120b
semilla,2376,muy negativo,0.97,"Enojo grave, falta de solución, quiere cambiar de proveedor",openai/gpt-oss-120b
semilla,2460,negativo,0.85,"Elogio leve, quejas mayores sobre errores y falta de gestión",openai/gpt-oss-120b
semilla,4149,neutral,0.8,"Elogios y quejas equilibrados, sin dominio claro",openai/gpt-oss-120b
semilla,1838,negativo,0.75,"Critica falta de orden, sin elogios claros",openai/gpt-oss-120b
semilla,1385,positivo,0.9,Elogio moderado de ropa y precio,openai/gpt-oss-120b
semilla,87,positivo,0.85,Breve elogio sin exageración,openai/gpt-oss-120b
semilla,4336,muy positivo,0.92,"Entusiasmo claro, recomienda implícitamente",openai/gpt-oss-120b
semilla,455,positivo,0.88,Elogio de atención y gestión rápida,openai/gpt-oss-120b
semilla,4279,positivo,0.84,"Elogio de precio, calidad y ambiente seguro",openai/gpt-oss-120b
semilla,2298,negativo,0.86,Queja de demoras por boxes vacíos,openai/gpt-oss-120b
semilla,2362,muy negativo,0.96,Queja grave de mala atención y cobros indebidos,openai/gpt-oss-120b
semilla,2310,muy negativo,0.94,"Enojo intenso, crítica extensa a la atención",openai/gpt-oss-120b
semilla,4183,positivo,0.85,Elogio breve de variedad y ofertas,openai/gpt-oss-120b
semilla,2019,muy negativo,0.95,"Fuerte queja, atención calificada como pésima",openai/gpt-oss-120b
semilla,1936,muy positivo,0.93,"Entusiasmo alto, múltiples elogios y agradecimiento",openai/gpt-oss-120b
semilla,988,positivo,0.88,Elogio claro de buena atención,openai/gpt-oss-120b
semilla,3017,muy positivo,0.9,"Uso de “Fantástico”, entusiasmo fuerte",openai/gpt-oss-120b
semilla,1692,negativo,0.84,Critica falta de capacitación y calidad de servicio,openai/gpt-oss-120b
semilla,2183,muy negativo,0.88,"Rechazo total, no recomienda el servicio",openai/gpt-oss-120b
semilla,3369,muy negativo,0.95,"Queja extensa, atención pésima y gran molestia",openai/gpt-oss-120b
semilla,3748,positivo,0.85,Elogio de variedad y amplitud sin quejas,openai/gpt-oss-120b
semilla,4566,muy positivo,0.9,"Entusiasta alaba calidad, variedad y comodidad",openai/gpt-oss-120b
semilla,4070,muy negativo,0.95,Queja grave de producto defectuoso y marca no confiable,openai/gpt-oss-120b
semilla,4123,positivo,0.85,"Elogia precios bajos, limpieza y buena atención",openai/gpt-oss-120b
semilla,1462,positivo,0.8,"Destaca diversidad y ambiente festivo, sin quejas",openai/gpt-oss-120b
semilla,899,muy negativo,0.95,Queja fuerte sobre atención deficiente y falta de ayuda,openai/gpt-oss-120b
semilla,3448,neutral,0.75,Combina elogios y queja menor sobre marcas,openai/gpt-oss-120b
semilla,477,muy positivo,0.9,Entusiasta recomendación y elogio al servicio,openai/gpt-oss-120b
semilla,1417,positivo,0.85,"Elogia variedad, precios y rapidez sin quejas",openai/gpt-oss-120b
semilla,2461,positivo,0.85,Resalta rapidez y comodidad del local,openai/gpt-oss-120b
semilla,3253,muy negativo,0.95,Quejas extensas sobre mala gestión y equipamiento defectuoso,openai/gpt-oss-120b
semilla,2395,muy negativo,0.95,"Acusa estafa y mala atención, tono de enojo",openai/gpt-oss-120b
semilla,4209,positivo,0.8,Elogio general con aviso de paciencia,openai/gpt-oss-120b
semilla,4582,positivo,0.75,"Elogia completitud, menciona falta de suplementos",openai/gpt-oss-120b
semilla,399,negativo,0.8,Queja por larga espera,openai/gpt-oss-120b
semilla,504,muy negativo,0.95,Queja extensa de falta de solución y mala atención,openai/gpt-oss-120b
semilla,3625,positivo,0.85,Elogio de calidad de remeras,openai/gpt-oss-120b
semilla,2339,neutral,0.7,"Alaba rapidez temprana, advierte complicaciones tarde",openai/gpt-oss-120b
semilla,2531,positivo,0.85,"Resalta variedad, precios y beneficios de tarjeta",openai/gpt-oss-120b
semilla,842,positivo,0.8,Elogia ubicación y seguridad,openai/gpt-oss-120b
semilla,732,positivo,0.0,"Calidad y pago fácil, queja menor de colas.",openai/gpt-oss-120b
semilla,644,muy negativo,0.0,"Larga espera y atención pésima, tono enfadado.",openai/gpt-oss-120b
semilla,2069,muy positivo,0.0,Elogio entusiasta a la atención.,openai/gpt-oss-120b
semilla,1970,negativo,0.0,Critica falta de experiencia y mal trato.,openai/gpt-oss-120b
semilla,1132,muy negativo,0.0,"Demora excesiva, siente abuso de tiempo.",openai/gpt-oss-120b
semilla,221,negativo,0.0,Breve queja de mala atención.,openai/gpt-oss-120b
semilla,373,negativo,0.0,Informa cierre inesperado y página desactualizada.,openai/gpt-oss-120b
semilla,4695,muy positivo,0.0,"Elogio entusiasta al lugar, personal y parqueaderos.",openai/gpt-oss-120b
semilla,589,muy positivo,0.0,Elogio breve pero entusiasta.,openai/gpt-oss-120b
semilla,291,muy positivo,0.0,"Destaca completitud del centro, tono entusiasta.",openai/gpt-oss-120b
semilla,4697,positivo,0.0,"Muchos elogios, menciona precio alto y pocas cocheras.",openai/gpt-oss-120b
semilla,1198,neutral,0.0,"Solo describe distribución, sin valoración.",openai/gpt-oss-120b
semilla,2391,muy negativo,0.0,Elogia atención pero denuncia estafa y mala calidad.,openai/gpt-oss-120b
semilla,3298,positivo,0.0,"Fidelidad, reconoce pocas cajas pero rapidez.",openai/gpt-oss-120b
semilla,151,muy negativo,0.0,Denuncia pérdida de dinero y falta de responsabilidad.,openai/gpt-oss-120b
semilla,222,muy negativo,0.0,"Denuncia pésima atención, apps, llama peor banco.",openai/gpt-oss-120b
semilla,4080,positivo,0.0,"Elogia orden y compras, menciona cobro baño.",openai/gpt-oss-120b
semilla,4592,muy positivo,0.0,"Elogio entusiasta a orden, atención y ubicación.",openai/gpt-oss-120b
semilla,2918,muy negativo,0.0,"Quejas múltiples, largas esperas, falta de stock, tono crítico.",openai/gpt-oss-120b
semilla,3974,neutral,0.0,Describe variedad de tallas sin valoración.,openai/gpt-oss-120b
semilla,746,muy negativo,0.98,"Queja grave, advierte estafa y recomienda no comprar",openai/gpt-oss-120b
semilla,882,muy negativo,0.97,"Denuncia estafa, falta de respuesta y reembolsos, recomienda evitar",openai/gpt-oss-120b
semilla,9,negativo,0.9,"Critica incompetencia y problemas, insatisfacción clara",openai/gpt-oss-120b
semilla,3912,negativo,0.92,"Desorden y falta de orientación, no volvería",openai/gpt-oss-120b
semilla,2922,muy negativo,0.95,"Denuncia cobro extra como estafa, decide no volver",openai/gpt-oss-120b
semilla,1369,positivo,0.93,"Comentario positivo sobre orden, limpieza y atención",openai/gpt-oss-120b
semilla,466,positivo,0.9,Elogio a precios bajos de celulares,openai/gpt-oss-120b
semilla,3158,positivo,0.9,Resalta variedad y rapidez en cajas,openai/gpt-oss-120b
semilla,4300,muy positivo,0.96,"Elogio entusiasta a variedad, precios y servicio",openai/gpt-oss-120b
semilla,386,negativo,0.92,Queja por celular defectuoso y larga espera,openai/gpt-oss-120b
semilla,4026,positivo,0.94,"Elogio a comodidad, variedad y recomendación",openai/gpt-oss-120b
semilla,1368,positivo,0.93,Destaca atención esmerada y ambiente amigable,openai/gpt-oss-120b
semilla,2260,muy negativo,0.95,Fuerte queja por servicio pésimo y atención deprimente,openai/gpt-oss-120b
semilla,1052,negativo,0.9,"Critica larga espera y mala atención, cambió de empresa",openai/gpt-oss-120b
semilla,4561,positivo,0.92,Elogio a variedad y cumplimiento de bioseguridad,openai/gpt-oss-120b
semilla,253,negativo,0.9,Queja por atención deficiente en plataforma,openai/gpt-oss-120b
semilla,3887,positivo,0.9,Expresa satisfacción con la experiencia,openai/gpt-oss-120b
semilla,794,positivo,0.9,Elogio a firma excelente y atención muy buena,openai/gpt-oss-120b
semilla,1836,muy negativo,0.94,Denuncia mala atención y cobro injusto por baño,openai/gpt-oss-120b
semilla,2607,positivo,0.9,Menciona buenos precios y poca concurrencia,openai/gpt-oss-120b
semilla,4256,positivo,0.85,"Mayoría elogios, crítica leve a atención.",openai/gpt-oss-120b
semilla,3737,positivo,0.9,"Solo elogios, sin quejas.",openai/gpt-oss-120b
semilla,1713,positivo,0.8,"Predominan elogios, queja menor sobre patio.",openai/gpt-oss-120b
semilla,3297,neutral,0.75,Elogios y quejas equilibrados.,openai/gpt-oss-120b
semilla,368,muy negativo,0.9,Queja grave de atención y larga espera.,openai/gpt-oss-120b
semilla,4228,muy positivo,0.9,"Elogios continuos, sin quejas.",openai/gpt-oss-120b
semilla,2857,muy positivo,0.85,Solo aspectos positivos.,openai/gpt-oss-120b
semilla,2424,negativo,0.8,"Experiencia mala, aunque algo de cortesía.",openai/gpt-oss-120b
semilla,4581,muy positivo,0.9,Elogio entusiasta y recomendación implícita.,openai/gpt-oss-120b
semilla,2527,negativo,0.75,"Crítica a imagen, pese a interior tranquilo.",openai/gpt-oss-120b
semilla,3308,muy positivo,0.85,"Recomendación fuerte, elogios predominantes.",openai/gpt-oss-120b
semilla,2823,neutral,0.75,Elogios y queja de sabor equilibrados.,openai/gpt-oss-120b
semilla,2947,neutral,0.7,"Positivo precio, calidad regular, balance.",openai/gpt-oss-120b
semilla,1918,muy positivo,0.85,Entusiasmo y recomendación implícita.,openai/gpt-oss-120b
semilla,2968,positivo,0.8,"Mayoría elogios, sugerencia menor.",openai/gpt-oss-120b
semilla,1656,muy negativo,0.85,"Servicio pésimo, queja grave.",openai/gpt-oss-120b
semilla,4238,positivo,0.75,"Elogios predominan, críticas menores.",openai/gpt-oss-120b
semilla,1031,muy negativo,0.9,Queja grave de atención y tiempo.,openai/gpt-oss-120b
semilla,1758,muy positivo,0.85,"Elogios sin quejas, recomendación implícita.",openai/gpt-oss-120b
semilla,817,negativo,0.8,Queja clara de falta de personal.,openai/gpt-oss-120b
semilla,1019,negativo,0.95,"Quejas sobre esperas, falta de fila preferencial y trato deficiente",openai/gpt-oss-120b
semilla,970,positivo,0.93,"Elogia atención y solución, aunque sugiere mejoras",openai/gpt-oss-120b
semilla,286,neutral,0.9,"Solo indica falta de estacionamiento, sin valoración",openai/gpt-oss-120b
semilla,3967,positivo,0.88,"Elogia en general, menciona demora como único inconveniente",openai/gpt-oss-120b
semilla,1938,muy positivo,0.96,Elogio amplio y recomendación enfática,openai/gpt-oss-120b
semilla,2095,muy positivo,0.97,"Entusiasmo y agradecimiento, elogia atención y educación",openai/gpt-oss-120b
semilla,653,negativo,0.94,"Se queja de larga espera, especialmente en atención preferencial",openai/gpt-oss-120b
semilla,837,positivo,0.85,"Destaca rapidez del acceso, sin más comentarios",openai/gpt-oss-120b
semilla,1753,muy negativo,0.96,Advertencia fuerte por colas imposibles después de las 7 pm,openai/gpt-oss-120b
semilla,2359,muy negativo,0.93,Critica fuertemente la atención y falta de respeto al cliente,openai/gpt-oss-120b
semilla,4544,neutral,0.88,"Combina variedad con colas largas, sin predominio claro",openai/gpt-oss-120b
semilla,4213,negativo,0.85,"Señala falta de aire acondicionado, queja sin elogio",openai/gpt-oss-120b
semilla,4595,positivo,0.9,"Elogia productos y servicio, sin exageración",openai/gpt-oss-120b
semilla,4124,muy positivo,0.94,"Alaba orden, protocolos y amabilidad, tono muy favorable",openai/gpt-oss-120b
semilla,2712,muy positivo,0.96,"Elogia rapidez, atención, precios y amabilidad, tono entusiasta",openai/gpt-oss-120b
semilla,2170,muy negativo,0.97,Denuncia trato nefasto y actitud pésima del personal,openai/gpt-oss-120b
semilla,2839,positivo,0.88,"Elogia espacio y rapidez, menciona falta de producto vegetariano",openai/gpt-oss-120b
semilla,544,muy negativo,0.98,"Critica falta de solución, amenazas y mala calidad de internet",openai/gpt-oss-120b
semilla,547,negativo,0.9,Se queja de larga espera y atención solo tras quejarse,openai/gpt-oss-120b
semilla,1220,positivo,0.9,"Elogia variedad y conveniencia, tono positivo",openai/gpt-oss-120b
semilla,2188,muy negativo,0.95,"Quejas graves sobre atención, falta de asientos y trato discriminatorio",openai/gpt-oss-120b
semilla,1679,muy negativo,0.94,"Denuncia abuso, amenazas y falta de respeto en zona preferencial",openai/gpt-oss-120b
semilla,69,neutral,0.85,Solo afirma sin expresar opinión,openai/gpt-oss-120b
semilla,1047,muy negativo,0.9,"Critica severamente la atención, la califica como pésima",openai/gpt-oss-120b
semilla,2467,muy positivo,0.93,"Elogia atención excelente y regalo, recomienda implícitamente",openai/gpt-oss-120b
semilla,4120,muy positivo,0.96,"Enthusiastic praise, highlights variedad, precios, amabilidad, recomienda",openai/gpt-oss-120b
semilla,248,muy positivo,0.97,"Alto elogio, destaca eficiencia, profesionalismo, recomienda ampliamente",openai/gpt-oss-120b
semilla,3930,negativo,0.9,Queja sobre precios altos y desorden en colas,openai/gpt-oss-120b
semilla,2389,muy negativo,0.95,Expresa enojo grave por falta de solución y demoras,openai/gpt-oss-120b
semilla,584,muy negativo,0.92,Denuncia maltrato y actitud desagradable del personal,openai/gpt-oss-120b
semilla,2078,positivo,0.88,Breve elogio a la buena atención,openai/gpt-oss-120b
semilla,3576,positivo,0.9,Elogia atención y rapidez sin exageración,openai/gpt-oss-120b
semilla,3866,muy negativo,0.93,"Acusa falta de honestidad y servicio, tono muy crítico",openai/gpt-oss-120b
semilla,1041,muy negativo,0.9,Expresa fuerte insatisfacción con la atención,openai/gpt-oss-120b
semilla,756,neutral,0.85,"Solo solicita información, sin valoración",openai/gpt-oss-120b
semilla,2835,neutral,0.88,"Combina elogios y quejas, sin predominio claro",openai/gpt-oss-120b
semilla,3960,positivo,0.9,"Elogia organización y trato amable, sin exageración",openai/gpt-oss-120b
semilla,57,positivo,0.85,Mayoría de elogios con algunas críticas menores,openai/gpt-oss-120b
semilla,3249,neutral,0.86,"Describe condiciones, combina aspectos positivos y negativos",openai/gpt-oss-120b
semilla,934,negativo,0.9,Elogia instalaciones pero denuncia trato discriminatorio y espera larga,openai/gpt-oss-120b
semilla,1011,muy negativo,1.0,"Quejas graves, recomienda no usar el servicio",openai/gpt-oss-120b
semilla,2404,muy negativo,1.0,"Servicio pésimo, redirecciones y falta de solución",openai/gpt-oss-120b
semilla,3922,neutral,1.0,Combina queja de lentitud con elogio a ofertas,openai/gpt-oss-120b
semilla,1345,muy positivo,1.0,"Elogio entusiasta, recomienda ampliamente la tienda",openai/gpt-oss-120b
semilla,1076,positivo,1.0,"Mayoría positiva, destaca como el mejor pese a lentitud",openai/gpt-oss-120b
semilla,651,negativo,1.0,Queja por cobro y falta de buenas opciones,openai/gpt-oss-120b
semilla,647,muy negativo,1.0,"Atención pésima, colas largas, recomienda buscar otro local",openai/gpt-oss-120b
semilla,2940,neutral,1.0,Elogia variedad pero critica desorden y señalética,openai/gpt-oss-120b
semilla,2409,muy negativo,1.0,Denuncia cobro extra y promoción engañosa,openai/gpt-oss-120b
semilla,3013,positivo,1.0,Encuentra producto y recibe apoyo del personal,openai/gpt-oss-120b
semilla,3016,muy positivo,1.0,"Elogio amplio, orden, limpieza y excelentes facilidades",openai/gpt-oss-120b
semilla,3351,neutral,1.0,Comentario informativo sin valoración clara,openai/gpt-oss-120b
semilla,2486,muy negativo,1.0,"Servicio pésimo, producto defectuoso y sin solución",openai/gpt-oss-120b
semilla,4799,positivo,1.0,Elogio breve a limpieza y variedad,openai/gpt-oss-120b
semilla,3244,neutral,1.0,"Elogia precios, pero critica actitudes de seguridad",openai/gpt-oss-120b
semilla,3558,muy positivo,1.0,"Entusiasta, destaca ofertas y colección navideña",openai/gpt-oss-120b
semilla,1106,neutral,1.0,Comentario descriptivo sin valoración,openai/gpt-oss-120b
semilla,4681,negativo,1.0,Se lamenta del deterioro del servicio,openai/gpt-oss-120b
semilla,93,positivo,1.0,Elogio breve a orden y limpieza,openai/gpt-oss-120b
semilla,2159,muy negativo,1.0,"Experiencia frustrante, advierte no perder tiempo",openai/gpt-oss-120b
semilla,1833,muy negativo,0.98,"Quejas graves, cobro excesivo, trato pésimo, recomienda no ir.",openai/gpt-oss-120b
semilla,4469,muy positivo,0.96,"Entusiasmo claro, elogio sin reservas, recomienda fuertemente.",openai/gpt-oss-120b
semilla,3598,positivo,0.92,"Elogio a la atención, sin entusiasmo extremo.",openai/gpt-oss-120b
semilla,4421,positivo,0.9,"Resalta orden, calidad y precios, tono favorable.",openai/gpt-oss-120b
semilla,3597,neutral,0.88,"Elogio al personal, pero indica falta de novedades.",openai/gpt-oss-120b
semilla,3797,positivo,0.86,"Variedad y descuentos resaltados, sin quejas.",openai/gpt-oss-120b
semilla,917,muy negativo,0.92,"Queja grave, recomienda no ir, sugiere estafa.",openai/gpt-oss-120b
semilla,10,negativo,0.81,"Expresa frustración por lentitud, sin exagerar.",openai/gpt-oss-120b
semilla,701,neutral,0.78,"Solo informa presencia de cola, sin juicio.",openai/gpt-oss-120b
semilla,4021,positivo,0.87,Describe muchos servicios y concluye que vale la pena.,openai/gpt-oss-120b
semilla,4281,positivo,0.89,"Elogia personal amable y variedad, tono positivo.",openai/gpt-oss-120b
semilla,3910,muy negativo,0.93,"Denuncia comportamiento obsceno y molesto, tono muy negativo.",openai/gpt-oss-120b
semilla,642,negativo,0.84,"Critica lentitud del sistema, pérdida de tiempo.",openai/gpt-oss-120b
semilla,325,negativo,0.8,Se queja del cierre y falta de información.,openai/gpt-oss-120b
semilla,3165,positivo,0.9,"Resalta buena ubicación, parqueo y comodidad, tono positivo.",openai/gpt-oss-120b
semilla,452,positivo,0.9,"Menciona siempre buena atención, tono positivo.",openai/gpt-oss-120b
semilla,123,muy negativo,0.88,"Exige cambio de administradora, critica trato, tono fuerte.",openai/gpt-oss-120b
semilla,3251,negativo,0.85,"Buen servicio pero seguridad discriminatoria, sentimiento negativo.",openai/gpt-oss-120b
semilla,3003,positivo,0.86,"Variedad buena, detalle raro pero en general positivo.",openai/gpt-oss-120b
semilla,3783,positivo,0.9,"Destaca variedad, ofertas y atención correcta, tono positivo.",openai/gpt-oss-120b
semilla,3090,positivo,0.88,"Alaba fácil aparcamiento, sin quejas.",openai/gpt-oss-120b
semilla,645,negativo,0.8,"Se queja de horario incorrecto, información deficiente.",openai/gpt-oss-120b
semilla,2018,negativo,0.8,"Critica falta de sistema y derivación, tono negativo.",openai/gpt-oss-120b
semilla,2149,muy negativo,0.95,"Denuncia pésimo servicio, cobros indebidos, tono muy negativo.",openai/gpt-oss-120b
semilla,1722,neutral,0.75,"Menciona precios bajos y mejoras, pero también anticuado.",openai/gpt-oss-120b
test,49,neutral,0.9,"Solo describe ubicación, sin valoración.",openai/gpt-oss-120b
test,2269,muy negativo,0.98,"Queja grave, recomienda no ir.",openai/gpt-oss-120b
test,1325,positivo,0.95,"Elogio moderado, tono positivo.",openai/gpt-oss-120b
test,3121,positivo,0.94,"Elogio sin quejas, tono positivo.",openai/gpt-oss-120b
test,4316,positivo,0.93,"Mayoría de elogios, único inconveniente menor.",openai/gpt-oss-120b
test,1624,muy positivo,0.96,"Entusiasmo claro, recomienda fuertemente.",openai/gpt-oss-120b
test,147,positivo,0.92,"Elogio breve, tono positivo.",openai/gpt-oss-120b
test,4230,muy positivo,0.95,"Entusiasmo alto, recomendación fuerte.",openai/gpt-oss-120b
test,2516,positivo,0.9,Comentario positivo sin quejas.,openai/gpt-oss-120b
test,2778,negativo,0.93,Quejas predominan sobre elogios.,openai/gpt-oss-120b
test,2852,neutral,0.9,Pros y contras equilibrados.,openai/gpt-oss-120b
test,3064,muy negativo,0.97,"Queja grave, tono enfadado.",openai/gpt-oss-120b
test,840,neutral,0.9,"Solo información, sin valoración.",openai/gpt-oss-120b
test,2093,positivo,0.92,"Elogio breve, tono positivo.",openai/gpt-oss-120b
test,2881,muy positivo,0.95,"Entusiasmo claro, recomienda.",openai/gpt-oss-120b
test,4458,muy positivo,0.96,"Entusiasmo alto, recomendación fuerte.",openai/gpt-oss-120b
test,3626,muy positivo,0.97,"Entusiasmo fuerte, recomendación clara.",openai/gpt-oss-120b
test,179,positivo,0.9,"Elogio de seguridad, tono positivo.",openai/gpt-oss-120b
test,316,muy negativo,0.94,"Queja grave, servicio deficiente.",openai/gpt-oss-120b
test,4653,neutral,0.88,Observación sin valoración positiva o negativa.,openai/gpt-oss-120b
test,912,negativo,0.93,Queja sobre falta de empatía y largas esperas,openai/gpt-oss-120b
test,2301,muy negativo,0.96,"Queja grave de desinformación, pérdida de tiempo y falta de solución",openai/gpt-oss-120b
test,279,neutral,0.88,Comentario breve sin valoración clara,openai/gpt-oss-120b
test,3093,neutral,0.85,Elogia varios aspectos pero menciona varios problemas significativos,openai/gpt-oss-120b
test,4543,positivo,0.9,Resalta variedad y productos saludables sin quejas,openai/gpt-oss-120b
test,1525,neutral,0.84,Información objetiva con leve mención a menos cajas,openai/gpt-oss-120b
test,997,muy positivo,0.92,Elogio enfático del centro de atención,openai/gpt-oss-120b
test,1990,muy negativo,0.97,Queja grave de mala atención y falta de solución,openai/gpt-oss-120b
test,2520,negativo,0.86,Precio bueno pero atención en caja muy lenta,openai/gpt-oss-120b
test,198,muy positivo,0.95,Elogio entusiasta y recomendación del BCP,openai/gpt-oss-120b
test,1222,positivo,0.88,Destaca presencia de marcas exclusivas sin críticas,openai/gpt-oss-120b
test,2658,negativo,0.85,Seguridad adecuada pero incomodidad por niños descontrolados,openai/gpt-oss-120b
test,238,muy positivo,0.94,Elogia rapidez y practicidad del proceso digital,openai/gpt-oss-120b
test,1673,muy negativo,0.96,Queja extensa de mala atención y largas colas,openai/gpt-oss-120b
test,3847,positivo,0.89,Elogio breve a la buena atención,openai/gpt-oss-120b
test,3356,positivo,0.9,"Resalta limpieza, orden y excelente atención",openai/gpt-oss-120b
test,3439,neutral,0.84,"Elogia precios y productos, pero critica música molesta",openai/gpt-oss-120b
test,678,negativo,0.87,Señala largas esperas y atención mediocre,openai/gpt-oss-120b
test,2957,positivo,0.9,"Elogia renovación y surtido, menciona pocos detalles negativos",openai/gpt-oss-120b
test,3307,positivo,0.9,"Resalta comodidad, organización y facilidades del centro",openai/gpt-oss-120b
test,2168,muy negativo,0.86,"Queja grave de servicio y falta de cajas, indica insatisfacción fuerte.",openai/gpt-oss-120b
test,1018,muy negativo,0.92,"Pésima atención, desorden, recomienda no ir.",openai/gpt-oss-120b
test,2428,negativo,0.81,"Mala atención predominante, aunque empleados se esfuerzan.",openai/gpt-oss-120b
test,2980,positivo,0.85,"Ubicación excelente y buen surtido, sin quejas.",openai/gpt-oss-120b
test,2445,negativo,0.78,Mala atención y falta de servicio sin problemas.,openai/gpt-oss-120b
test,3071,muy negativo,0.9,"Enojo intenso por falta de variedad, cobros y explotación.",openai/gpt-oss-120b
test,3045,positivo,0.86,"Instalaciones en óptimo estado, comentario positivo.",openai/gpt-oss-120b
test,1687,neutral,0.75,"Bueno en general, pero trabajadores cortantes.",openai/gpt-oss-120b
test,2981,neutral,0.8,"Experiencia mixta con pros y contras, aceptable.",openai/gpt-oss-120b
test,1266,positivo,0.9,Lugar agradable y buen ambiente.,openai/gpt-oss-120b
test,3382,muy negativo,0.9,"Cobro doble y demora devolución, queja grave.",openai/gpt-oss-120b
test,1013,muy negativo,0.92,"Engaño y mala atención, advierte no ir.",openai/gpt-oss-120b
test,944,neutral,0.77,"Ambiente moderno, pero falta de asientos y espera.",openai/gpt-oss-120b
test,4612,positivo,0.9,"Gran variedad, buenos precios y calidad.",openai/gpt-oss-120b
test,3410,neutral,0.74,"Pocas promociones y mucha gente, algo negativo.",openai/gpt-oss-120b
test,3461,neutral,0.7,Descripción informativa sin valoración clara.,openai/gpt-oss-120b
test,3838,negativo,0.81,Largo tiempo para efectivo y wifi deficiente.,openai/gpt-oss-120b
test,4356,positivo,0.85,"Amplia oferta y buena atención, comentarios positivos.",openai/gpt-oss-120b
test,2739,muy positivo,0.95,"Excelente lugar, atención sobresaliente, lo recomiendo.",openai/gpt-oss-120b
test,4286,muy positivo,0.95,"Lugar favorito, entusiasmo y recomendación fuerte.",openai/gpt-oss-120b
test,4376,muy positivo,0.97,"Elogio entusiasta, destaca variedad y calidad",openai/gpt-oss-120b
test,3011,muy positivo,0.96,"Entusiasmo claro, recomienda y destaca variedad",openai/gpt-oss-120b
test,2084,neutral,0.9,"Comentario breve, sin valoración positiva ni negativa",openai/gpt-oss-120b
test,1190,muy positivo,0.94,"Entusiasmo festivo, expresa alegría y recomendación implícita",openai/gpt-oss-120b
test,1450,negativo,0.92,Queja clara de desorden y aglomeración,openai/gpt-oss-120b
test,3304,positivo,0.88,"Mayoría positiva, menciona renovación y buena compra",openai/gpt-oss-120b
test,4062,positivo,0.85,"Elogia variedad y precios, pero señala ruido excesivo",openai/gpt-oss-120b
test,2618,muy positivo,0.96,"Entusiasmo alto, destaca atención y servicio excelente",openai/gpt-oss-120b
test,4440,muy positivo,0.98,"Elogio entusiasta, recomienda y califica 10/10",openai/gpt-oss-120b
test,3837,negativo,0.95,Queja directa sobre atención y educación,openai/gpt-oss-120b
test,1223,neutral,0.85,Comentario descriptivo sin valoración clara,openai/gpt-oss-120b
test,4221,positivo,0.88,"Elogia sabor y frescura, menciona horario limitado",openai/gpt-oss-120b
test,1729,neutral,0.84,Balancea aspectos negativos y positivos sin predominancia,openai/gpt-oss-120b
test,2766,muy negativo,0.96,"Queja grave, describe imposibilidad y frustración",openai/gpt-oss-120b
test,1611,positivo,0.9,Elogio breve de atención y limpieza,openai/gpt-oss-120b
test,3175,positivo,0.88,"Comentario positivo, destaca corrección y calidad",openai/gpt-oss-120b
test,4265,positivo,0.87,"Elogia variedad y ofertas, menciona ausencia menor",openai/gpt-oss-120b
test,4571,muy positivo,0.93,Entusiasmo al recomendar producto específico,openai/gpt-oss-120b
