id_registro,etiqueta_llm,confianza_llm,justificacion_llm
597,positivo,0.86,"Atención rápida, pero falta de publicidad, satisfacción moderada."
4040,muy negativo,0.95,"Producto defectuoso, corta vida útil, recomienda no comprar"
4556,positivo,0.9,"Espacio amplio, buena calidad, atención rápida pese a colas"
4539,negativo,0.85,Precios percibidos como algo elevados
3355,positivo,0.8,"Buen servicio y aire acondicionado, valoración favorable"
4585,positivo,0.85,"Buena oferta, cajera amable, solución POS"
2020,muy negativo,0.95,"Desorganización total, experiencia supliciosa"
3675,negativo,0.85,"Política restrictiva, decepción por no recibir regalo"
2902,muy positivo,0.9,"Lugar excelente, ordenado y limpio"
3264,neutral,0.8,Ordenado pero con cobro de estacionamiento
713,negativo,0.75,"Muchísima cola, experiencia poco satisfactoria"
4156,positivo,0.85,"Controles eficientes, recomendación útil, experiencia positiva"
2098,muy negativo,0.95,"Servicio pésimo, atención deficiente, desaconseja la empresa"
771,muy negativo,0.9,"Trato malo y precios altos, reseña muy negativa"
2517,neutral,0.8,Descripción informativa sin valoración
3957,positivo,0.8,"Variedad y entrega rápida, advierte taxis informales"
447,negativo,0.75,Colas largas y lentas por pandemia
2996,muy positivo,0.9,"Remodelación hermosa, ambiente fresco y ordenado"
1483,muy negativo,0.95,"Mala atención, cobros abusivos, experiencia muy negativa"
62,muy positivo,0.9,"Valoración muy buena, entusiasmo claro"
310,muy negativo,0.85,"Inseguridad en cajero, riesgo de datos"
1785,neutral,0.95,Texto informativo sin valoración positiva ni negativa
612,positivo,0.94,Pequeña queja pero atención rápida y eficiente
3965,positivo,0.93,"Elogios predominantes, solo sugerencia menor"
4012,muy positivo,0.96,Entusiasmo y recomendación clara para ir en familia
1561,muy positivo,0.95,"Elogio sin reservas, destaca ofertas y comodidad"
4688,positivo,0.92,"Mayoría elogios, advierte sobre publicista"
41,muy negativo,0.96,"Quejas graves de servicio y seguridad, desaconseja"
2847,neutral,0.9,Elogios y quejas equilibradas
4253,neutral,0.89,"Ventajas y desventajas presentadas, sin predominio"
721,muy positivo,0.97,Entusiasmo y recomendación clara
4420,positivo,0.93,"Elogio mayoritario, ligera preocupación"
4542,muy positivo,0.95,"Elogio sin reservas, ambiente tranquilo"
811,muy negativo,0.94,Corto pero denota fuerte descontento
1279,muy negativo,0.96,"Queja grave de atención, recomienda no"
1719,muy positivo,0.95,Entusiasmo y recomendación implícita
2512,muy positivo,0.96,"Elogio entusiasta, sin reservas"
927,muy negativo,0.96,"Fuerte queja sobre personal, tono crítico"
2729,muy positivo,0.97,"Entusiasmo claro, recomendación implícita"
2458,negativo,0.94,"Queja clara de lentitud, desaconseja horarios"
2929,negativo,0.92,"Insatisfacción con frescura, sugiere buscar otro proveedor"
1995,negativo,0.88,Queja por incomodidad en la atención al público
1996,negativo,0.9,"Critica la mala atención, tono crítico"
4608,muy positivo,0.95,"Entusiasmo, recomienda y destaca excelente atención"
3644,positivo,0.85,"Elogio general, satisfacción sin exageración"
3083,muy negativo,0.96,Queja grave sobre higiene y comportamiento de usuarios
3763,positivo,0.87,Elogio general del centro comercial
2236,muy negativo,0.94,Denuncia graves problemas de servicio y gestión
3978,positivo,0.86,Elogio general con queja menor sobre el plátano
4412,muy positivo,0.96,"Entusiasta recomendación, destaca múltiples aspectos positivos"
3243,negativo,0.9,Se queja de precios inconsistentes y confusión en caja
404,muy negativo,0.93,Denuncia filtración de datos y falta de seguridad
3533,neutral,0.84,Elogia variedad pero critica precios excesivos
3406,positivo,0.88,"Resalta variedad, precios accesibles y limpieza"
4314,positivo,0.86,"Elogia orden, ofertas y amabilidad del personal"
4795,muy positivo,0.95,"Entusiasta, destaca mejora y modernización tras años"
3133,neutral,0.82,Descripción informativa sin fuerte carga positiva ni negativa
3180,muy positivo,0.9,Entusiasmo por compras recientes
374,negativo,0.88,Queja por tienda cerrada en horario esperado
1598,muy negativo,0.96,Expresa enojo por larga espera
3803,muy positivo,0.95,"Elogia atención, variedad y buen manejo de objetos perdidos"
821,negativo,0.9,"Queja por falta de cambios, insatisfacción moderada."
2904,muy positivo,0.95,"Elogio entusiasta, precios buenos, recomienda implícitamente."
353,muy positivo,0.92,"Descripción positiva, atención muy buena, sin quejas."
3728,neutral,0.85,"Menciona variedad y precios, pero critica calidad, tono mixto."
4640,muy positivo,0.96,"Alabanza extrema, compara favorablemente, opción ideal."
722,positivo,0.88,"Buena atención pero larga espera, satisfacción moderada."
685,negativo,0.85,"Rápida atención en ventanilla, pero larga espera en ticket, frustración."
4708,muy positivo,0.95,"Entusiasmo claro, destaca estética y atención excelente."
2092,positivo,0.9,"Rápida atención y accesibilidad, comentario positivo."
4645,positivo,0.88,"Espacio pequeño pero gran variedad, valoración positiva."
3935,neutral,0.8,"Descuentos buenos, pero carritos defectuosos, tono equilibrado."
2203,muy negativo,0.92,"Larga falta de solución y facturación, queja grave."
3949,neutral,0.85,"Variedad y horario amplio, pero pocas cajas, tono mixto."
696,neutral,0.85,"Congestión alta, personal amable, opinión mixta."
2079,positivo,0.9,"Poco público, atención amable y solución, satisfacción."
446,positivo,0.9,"Atención rápida y poca gente, comentario positivo."
480,neutral,0.85,"Ubicación desordenada, pero muchas tiendas, opinión neutral."
3381,negativo,0.88,"Precio sube pese a descuento, frustración por costo."
4247,muy positivo,0.93,"Limpio, ordenado, recomienda visitar en días tranquilos."
748,negativo,0.85,"Precio SIM y recarga considerados caros, queja."
2196,negativo,0.85,"Quejas sobre desinfección, demoras e información inconsistente"
1148,muy negativo,0.9,Denuncia estafa y falta de confianza en la tienda
1609,muy positivo,0.9,Elogio entusiasta a la atención del banco
580,neutral,0.8,"Elogio a atención, pero queja de larga espera"
2521,neutral,0.75,Mezcla elogio de precios y crítica de artefactos
249,negativo,0.85,Queja de molestia por falta de papel en cajero
81,positivo,0.8,Comentario breve y entusiasta sobre la vista
3149,positivo,0.85,"Resalta instalaciones y variedad, menciona mayor afluencia nocturna"
3421,positivo,0.85,"Elogia ofertas y precios, menciona limitada variedad"
1808,positivo,0.8,Comentario breve y favorable sobre el lugar
4607,muy positivo,0.9,Alabanza entusiasta a organización y seguridad
578,negativo,0.85,Queja por actitud molesta y falta de información
677,negativo,0.8,Critica deficiencia y diagnóstico incorrecto del servicio técnico
2645,negativo,0.85,Queja sobre actitud cansada y falta de atención del vendedor
4108,muy positivo,0.9,"Elogio entusiasta a variedad, orden y facilidades"
1574,negativo,0.8,Señala insuficiente número de ventanillas activas
1587,negativo,0.85,Queja por lentitud en la atención
860,neutral,0.7,"Solo menciona nombre, sin valoración"
3623,positivo,0.8,Comentario favorable sobre ubicación y oferta de ropa
3374,negativo,0.85,"Critica medidas Covid y ambiente cerrado, sugiere comprar online"
1239,negativo,0.9,"Queja sobre tráfico lento, tono insatisfecho"
4071,negativo,0.9,"Elogia aisles, pero destaca desorden y falta de stock"
3080,positivo,0.92,"Mayormente elogios, con queja menor del estacionamiento"
1367,neutral,0.85,"Combina elogios y quejas sobre personal, tono equilibrado"
1622,muy positivo,0.96,"Entusiasta, destaca comodidad y excelente servicio"
4091,positivo,0.88,"Elogia espacio y ofertas, menciona acceso algo enredado"
2787,positivo,0.87,"Mayormente positivo, con queja menor de horarios de comida"
3054,neutral,0.84,"Compara, destaca ventajas de otro, sugiere mejoras para Vea"
4289,positivo,0.9,"Elogia ofertas y variedad, tono satisfecho"
1487,neutral,0.83,"Elogia variedad, critica falta de vestidores, tono equilibrado"
676,negativo,0.92,"Queja clara de larga espera, tono insatisfecho"
79,neutral,0.95,"Solo información, sin valoración positiva o negativa"
3087,positivo,0.9,"Elogia seguridad, limpieza y precios, tono satisfecho"
4461,muy positivo,0.96,"Entusiasmo por limpieza y organización, recomendación implícita"
2938,negativo,0.88,"Elogia accesibilidad, pero critica personal y falta de productos"
1000,muy positivo,0.97,Elogio fuerte a amabilidad y eficiencia
4670,negativo,0.9,Queja extensa sobre remodelaciones y falta de cajas
141,negativo,0.91,"Advertencia de larga espera, tono insatisfecho"
2537,positivo,0.88,"Destaca variedad y precios, tono satisfecho"
1637,positivo,0.9,"Resalta baja espera, tono favorable"
2140,negativo,0.85,"Queja sobre atención y falta de información, tono frustrado."
457,neutral,0.9,Describe servicio estándar sin elogios ni quejas.
3395,negativo,0.88,"Critica olores y falta de aire acondicionado, tono negativo."
4105,positivo,0.9,"Elogia limpieza, espacio y atención, lo recomienda."
1310,muy positivo,0.87,"Entusiasmo por ambiente agradable y variedad, recomendación implícita."
702,positivo,0.9,"Destaca buena atención, menciona limitaciones post‑pandemia."
1894,muy negativo,0.9,Se queja del consumo mínimo y no volverá.
4320,muy positivo,0.9,"Alaba despacho online y visita, sin críticas."
1101,positivo,0.85,"Resalta rapidez y solución de problemas, tono positivo."
1241,muy positivo,0.9,"Elogio entusiasta de amplitud, calidad y organización."
451,neutral,0.85,"Comentario informativo, sin valoración clara."
4242,neutral,0.8,Mezcla limpieza con precios faltantes y colas desordenadas.
1189,positivo,0.85,"Aprecia menor concurrencia, mejora la experiencia."
3556,negativo,0.88,Queja por demora en carta de no adeudo.
1756,neutral,0.8,"Colas largas, pero limpieza y atención buenas."
1782,muy positivo,0.9,"Entusiasmo por comodidad, precios bajos y servicios."
598,negativo,0.88,"Critica lentitud, máquinas defectuosas y servicio variable."
2789,muy positivo,0.85,"Califica como uno de los mejores, destaca vinos."
1711,negativo,0.9,Denuncia baño caótico y productos faltantes.
4379,muy positivo,0.9,"Alaba espacio, aire acondicionado y helados recomendados."
4717,muy positivo,0.96,"Elogia organización, ubicación y facilidades sin mencionar problemas."
630,muy negativo,0.97,Queja grave de largas esperas y servicio inoperante.
3239,negativo,0.9,"Ofertas buenas, pero quejas de largas colas predominan."
1569,muy positivo,0.96,"Alaba orden, limpieza, variedad y posición destacada."
4586,muy positivo,0.96,"Destaca ventilación, amabilidad y accesibilidad sin críticas."
2076,positivo,0.92,"Elogia rapidez y mejora, sin exagerar entusiasmo."
3726,neutral,0.88,"Ofrece buenas zapatillas, pero critica lentitud del banco."
3422,negativo,0.9,"Menciona buenas ofertas pero personal deficiente y largas colas, desaconseja fin de semana."
45,positivo,0.92,Comentario breve y positivo sin exageración.
150,positivo,0.92,Comentario breve y positivo sin exageración.
4591,neutral,0.88,"Variedad y limpieza, pero precios regulares sin gran ventaja."
2986,muy positivo,0.96,"Resalta orden, limpieza y amplia variedad sin críticas."
2900,muy positivo,0.96,"Destaca amplitud, múltiples cajas y excelentes ofertas."
4487,muy positivo,0.96,"Elogia atención, seguridad y recepción de forma entusiasta."
1405,muy positivo,0.96,"Califica lugar hermoso y precios económicos, sin quejas."
1568,muy positivo,0.96,Elogia lugar y gran variedad sin observaciones negativas.
2546,neutral,0.88,"Ofrece buenas ofertas pero carece de variedad, especialmente en bicicletas."
1256,muy positivo,0.96,"Resalta tamaño, variedad, tecnología y buenas ofertas sin críticas."
744,muy positivo,0.96,"Entusiasta elogio a atención, exhibición y amplitud del local."
1488,neutral,0.88,Menciona buenas ofertas pero precios altos en calzado.
1120,positivo,0.9,Rapidez y amabilidad indican satisfacción moderada
2967,neutral,0.85,"Elogios y quejas equilibrados, sin predominio claro"
1079,positivo,0.9,Servicio rápido y amable favorece al cliente
3765,muy positivo,0.9,Elogios intensos y sin quejas muestra entusiasmo
43,negativo,0.9,Queja clara sobre trámites excesivos
3337,muy positivo,0.95,"Recomendación entusiasta, destaca limpieza y ambiente"
4403,neutral,0.85,Elogios y queja fuerte sobre precios equilibran reseña
4328,positivo,0.9,"Buen espacio, comida y ofertas generan satisfacción"
2916,muy negativo,0.95,"Queja grave de atención, recomienda no ir"
3799,muy positivo,0.9,"Elogio entusiasta, recomienda actividades"
1571,muy positivo,0.9,"Entusiasmo y recomendación clara, destaca vista"
2667,positivo,0.85,Breve elogio indica satisfacción moderada
1742,negativo,0.85,Insatisfacción inicial supera los aspectos positivos
3875,muy negativo,0.95,"Queja grave de servicio, desaconseja acudir"
2499,neutral,0.85,"Ofertas buenas y atención pésima, balance neutral"
4113,positivo,0.9,Satisfacción por ofertas y liquidaciones
4570,muy positivo,0.9,"Elogio amplio, precios justos y variedad"
103,muy positivo,0.9,Elogio entusiasta de orden y modernidad
478,muy positivo,0.95,Entusiasmo fuerte elogia atención
2552,neutral,0.85,Aspectos positivos y quejas de personal equilibran reseña
3751,positivo,0.85,"Destaca espacio y buenas ofertas, aunque requiere tiempo."
706,positivo,0.9,Reconoce cola larga pero destaca rapidez y amabilidad.
4410,neutral,0.8,"Alaba atención, pero critica lentitud en cajas."
4262,positivo,0.85,Enfatiza buenas promociones con tarjeta.
4273,muy positivo,0.95,Elogia calidad y lo califica como el mejor.
4244,positivo,0.8,Destaca variedad del lugar.
3939,muy positivo,0.95,"Resalta amplitud, amabilidad y precios razonables."
4762,muy positivo,0.95,"Elogia atención, calidad y novedades."
2470,negativo,0.9,Critica asesoría y atención pese a ofertas.
3723,muy positivo,0.9,"Elogia lugar y tiendas, muestra entusiasmo."
372,muy negativo,0.98,Expresa enojo y rechazo total.
1501,negativo,0.85,"Ofertas buenas, pero personal poco colaborativo."
765,muy negativo,0.95,Falta total de buena atención.
2791,positivo,0.85,Destaca utilidad y novedad del lugar.
2979,positivo,0.85,Elogia como buen sitio de compras.
3862,muy negativo,0.96,Denuncia mal servicio y larga espera.
1329,negativo,0.88,"Ofertas buenas, pero colas largas y lentas."
4740,muy positivo,0.96,Elogia limpieza y atención excepcional.
3579,neutral,0.8,Combina ofertas buenas con problemas de aforo y cumplimiento.
3752,positivo,0.85,Elogia calidad y amplio espacio.
1947,positivo,0.95,"Enfasis en limpieza, orden y seguridad, tono positivo."
4422,positivo,0.96,"Resalta variedad, calidad, precios y servicio continuo, tono favorable."
1498,positivo,0.94,"Destaca buenas ofertas y recomendación, sentimiento positivo."
4390,positivo,0.93,"Elogia productos, atención y limpieza, pese a precios altos."
1852,negativo,0.96,"Critica lentitud y mala gestión, muestra insatisfacción clara."
2849,positivo,0.95,"Enfatiza surtido, precios accesibles y facilidades, tono favorable."
759,positivo,0.92,"Aprecia rapidez y calidad del servicio, sentimiento positivo."
1374,positivo,0.94,"Resalta ambiente, amabilidad y atención, tono positivo."
476,muy positivo,0.9,Elogia distribución y modernidad con entusiasmo.
3353,muy positivo,0.93,"Invita a visitar, destaca limpieza y precios justos, tono entusiasta."
3273,positivo,0.94,"Enfatiza orden, limpieza y variedad, sentimiento positivo."
3048,muy positivo,0.92,"Alaba limpieza, organización y atención excelente, tono muy entusiasta."
4454,positivo,0.9,"Menciona buenas opciones, actitud positiva."
2736,positivo,0.9,"Resalta ofertas y facilidad de pago, tono positivo."
4204,negativo,0.94,"Combina elogios con críticas graves a baños y estacionamiento, predominan lo negativo."
275,neutral,0.91,"Elogia atención pero menciona colas largas, balanceado sin polaridad clara."
3996,muy positivo,0.96,"Entusiasta recomendación, destaca variedad y precios cómodos, tono extremadamente positivo."
380,muy negativo,0.95,"Queja grave de mala atención y demoras, recomienda no ir."
4443,positivo,0.92,"Destaca eficiencia y amabilidad, tono positivo."
3946,positivo,0.94,"Resalta orden, ofertas y amabilidad, sentimiento claramente positivo."
1792,muy positivo,0.95,"Elogia ubicación, variedad, seguridad y transporte, tono entusiasta"
1351,positivo,0.9,Comentario breve pero positivo sobre la variedad
951,muy positivo,0.93,Alaba atención excelente y ambiente poco concurrido
171,positivo,0.9,"Destaca calidad y ubicación inmediata, tono positivo"
4466,muy positivo,0.94,"Resalta orden, limpieza, variedad y opciones de pago, muy entusiasta"
1339,positivo,0.88,"Elogia ofertas y productos, tono favorable"
2756,positivo,0.9,Destaca ofertas y excelente atención al público
4264,positivo,0.88,"Elogia atención y precios cómodos, actitud positiva"
4078,positivo,0.85,"Menciona buenas ofertas en abarrotes, tono favorable"
3183,muy positivo,0.96,"Entusiasta sobre descuentos, tiendas y ambiente agradable"
913,negativo,0.94,"Critica atención pésima, demoras y falta de estacionamiento"
4382,muy positivo,0.95,"Elogia belleza, novedad y ambiente ideal para compartir"
493,muy negativo,0.97,"Denuncia colas excesivas y demoras, tono muy crítico"
4627,muy positivo,0.94,"Alaba limpieza, orden, surtido y calidad, tono entusiasta"
977,neutral,0.8,Comentario breve sin valoración clara
4699,muy positivo,0.96,"Destaca limpieza, seguridad, calidad y ambiente acogedor"
1898,muy positivo,0.94,"Elogia limpieza, orden y excelente atención, tono agradecido"
2859,muy positivo,0.95,"Expresa fidelidad, buen lugar y precios cómodos, muy entusiasta"
2570,positivo,0.88,"Resalta atención y buen lugar, tono favorable"
4438,muy positivo,0.95,"Alaba organización, limpieza y personal muy atento, tono entusiasta"
1258,muy positivo,0.96,"Elogio entusiasta, recomienda y destaca excelente atención y amabilidad"
